"","loc","SEMEL_YISHUV","Pop_Total","year","SHEM_YISHUV","lat","long"
"70","אבותלול",1375,2492,2022,"אבו תלול",31.1426115,34.913514
"71","אבותלול",1375,2023,2019,"אבו תלול",31.1426115,34.913514
"72","אבותלול",1375,2140,2020,"אבו תלול",31.1426115,34.913514
"73","אבותלול",1375,2330,2021,"אבו תלול",31.1426115,34.913514
"74","אבותלול",1375,551,2017,"אבו תלול",31.1426115,34.913514
"75","אבותלול",1375,0,2011,"אבו תלול",31.1426115,34.913514
"76","אבותלול",1375,0,2013,"אבו תלול",31.1426115,34.913514
"77","אבותלול",1375,120,2015,"אבו תלול",31.1426115,34.913514
"78","אבטין",652,2740,2016,"אבטין",32.762806,35.1107305
"79","אבטין",652,2439,2009,"אבטין",32.762806,35.1107305
"80","אבטין",652,2835,2019,"אבטין",32.762806,35.1107305
"81","אבטין",652,2680,2012,"אבטין",32.762806,35.1107305
"82","אבטין",652,2670,2014,"אבטין",32.762806,35.1107305
"83","אבטין",652,2650,2013,"אבטין",32.762806,35.1107305
"84","אבטין",652,2915,2022,"אבטין",32.762806,35.1107305
"85","אבטין",652,2500,2011,"אבטין",32.762806,35.1107305
"86","אבטין",652,2900,2021,"אבטין",32.762806,35.1107305
"87","אבטין",652,2759,2017,"אבטין",32.762806,35.1107305
"88","אבטין",652,2773,2018,"אבטין",32.762806,35.1107305
"89","אבטין",652,2887,2020,"אבטין",32.762806,35.1107305
"90","אבטין",652,2400,2008,"אבטין",32.762806,35.1107305
"91","אבטין",652,2221,2006,"אבטין",32.762806,35.1107305
"92","אבטין",652,2690,2015,"אבטין",32.762806,35.1107305
"93","אבטליון",1275,475,2021,"אבטליון",32.8368694,35.350544
"94","אבטליון",1275,470,2018,"אבטליון",32.8368694,35.350544
"95","אבטליון",1275,380,2015,"אבטליון",32.8368694,35.350544
"96","אבטליון",1275,380,2014,"אבטליון",32.8368694,35.350544
"97","אבטליון",1275,400,2016,"אבטליון",32.8368694,35.350544
"98","אבטליון",1275,468,2019,"אבטליון",32.8368694,35.350544
"99","אבטליון",1275,350,2013,"אבטליון",32.8368694,35.350544
"100","אבטליון",1275,300,2011,"אבטליון",32.8368694,35.350544
"101","אבטליון",1275,329,2006,"אבטליון",32.8368694,35.350544
"102","אבטליון",1275,466,2022,"אבטליון",32.8368694,35.350544
"103","אבטליון",1275,479,2020,"אבטליון",32.8368694,35.350544
"104","אבטליון",1275,436,2017,"אבטליון",32.8368694,35.350544
"105","אבטליון",1275,298,2009,"אבטליון",32.8368694,35.350544
"106","אבטליון",1275,320,2012,"אבטליון",32.8368694,35.350544
"107","אבטליון",1275,300,2008,"אבטליון",32.8368694,35.350544
"108","אביאל",679,511,2006,"אביאל",32.5321575,34.9908625
"109","אביאל",679,760,2012,"אביאל",32.5321575,34.9908625
"110","אביאל",679,812,2017,"אביאל",32.5321575,34.9908625
"111","אביאל",679,850,2016,"אביאל",32.5321575,34.9908625
"112","אביאל",679,821,2019,"אביאל",32.5321575,34.9908625
"113","אביאל",679,780,2014,"אביאל",32.5321575,34.9908625
"114","אביאל",679,676,2009,"אביאל",32.5321575,34.9908625
"115","אביאל",679,792,2020,"אביאל",32.5321575,34.9908625
"116","אביאל",679,816,2022,"אביאל",32.5321575,34.9908625
"117","אביאל",679,820,2015,"אביאל",32.5321575,34.9908625
"118","אביאל",679,780,2013,"אביאל",32.5321575,34.9908625
"119","אביאל",679,700,2011,"אביאל",32.5321575,34.9908625
"120","אביאל",679,600,2008,"אביאל",32.5321575,34.9908625
"121","אביאל",679,820,2021,"אביאל",32.5321575,34.9908625
"122","אביאל",679,815,2018,"אביאל",32.5321575,34.9908625
"123","אביבים",1115,500,2011,"אביבים",33.0880395,35.4720274
"124","אביבים",1115,468,2009,"אביבים",33.0880395,35.4720274
"125","אביבים",1115,477,2018,"אביבים",33.0880395,35.4720274
"126","אביבים",1115,490,2013,"אביבים",33.0880395,35.4720274
"127","אביבים",1115,480,2012,"אביבים",33.0880395,35.4720274
"128","אביבים",1115,500,2015,"אביבים",33.0880395,35.4720274
"129","אביבים",1115,500,2008,"אביבים",33.0880395,35.4720274
"130","אביבים",1115,470,2021,"אביבים",33.0880395,35.4720274
"131","אביבים",1115,471,2019,"אביבים",33.0880395,35.4720274
"132","אביבים",1115,474,2022,"אביבים",33.0880395,35.4720274
"133","אביבים",1115,489,2017,"אביבים",33.0880395,35.4720274
"134","אביבים",1115,439,2006,"אביבים",33.0880395,35.4720274
"135","אביבים",1115,500,2016,"אביבים",33.0880395,35.4720274
"136","אביבים",1115,475,2020,"אביבים",33.0880395,35.4720274
"137","אביבים",1115,500,2014,"אביבים",33.0880395,35.4720274
"138","אביגדור",819,793,2017,"אביגדור",31.7072915,34.742767
"139","אביגדור",819,700,2008,"אביגדור",31.7072915,34.742767
"140","אביגדור",819,679,2006,"אביגדור",31.7072915,34.742767
"141","אביגדור",819,821,2018,"אביגדור",31.7072915,34.742767
"142","אביגדור",819,770,2016,"אביגדור",31.7072915,34.742767
"143","אביגדור",819,700,2011,"אביגדור",31.7072915,34.742767
"144","אביגדור",819,815,2022,"אביגדור",31.7072915,34.742767
"145","אביגדור",819,807,2021,"אביגדור",31.7072915,34.742767
"146","אביגדור",819,760,2014,"אביגדור",31.7072915,34.742767
"147","אביגדור",819,770,2013,"אביגדור",31.7072915,34.742767
"148","אביגדור",819,760,2015,"אביגדור",31.7072915,34.742767
"149","אביגדור",819,826,2019,"אביגדור",31.7072915,34.742767
"150","אביגדור",819,740,2012,"אביגדור",31.7072915,34.742767
"151","אביגדור",819,696,2009,"אביגדור",31.7072915,34.742767
"152","אביגדור",819,816,2020,"אביגדור",31.7072915,34.742767
"153","אביחיל",175,1200,2008,"אביחיל",32.3512015,34.8701769
"154","אביחיל",175,1390,2016,"אביחיל",32.3512015,34.8701769
"155","אביחיל",175,1400,2011,"אביחיל",32.3512015,34.8701769
"156","אביחיל",175,1390,2012,"אביחיל",32.3512015,34.8701769
"157","אביחיל",175,1402,2021,"אביחיל",32.3512015,34.8701769
"158","אביחיל",175,1272,2009,"אביחיל",32.3512015,34.8701769
"159","אביחיל",175,1400,2015,"אביחיל",32.3512015,34.8701769
"160","אביחיל",175,1383,2017,"אביחיל",32.3512015,34.8701769
"161","אביחיל",175,1391,2022,"אביחיל",32.3512015,34.8701769
"162","אביחיל",175,1380,2013,"אביחיל",32.3512015,34.8701769
"163","אביחיל",175,1199,2006,"אביחיל",32.3512015,34.8701769
"164","אביחיל",175,1410,2020,"אביחיל",32.3512015,34.8701769
"165","אביחיל",175,1422,2019,"אביחיל",32.3512015,34.8701769
"166","אביחיל",175,1410,2018,"אביחיל",32.3512015,34.8701769
"167","אביחיל",175,1400,2014,"אביחיל",32.3512015,34.8701769
"168","אביטל",2052,494,2019,"אביטל",32.55723,35.3074155
"169","אביטל",2052,515,2022,"אביטל",32.55723,35.3074155
"170","אביטל",2052,520,2016,"אביטל",32.55723,35.3074155
"171","אביטל",2052,500,2015,"אביטל",32.55723,35.3074155
"172","אביטל",2052,500,2011,"אביטל",32.55723,35.3074155
"173","אביטל",2052,480,2013,"אביטל",32.55723,35.3074155
"174","אביטל",2052,449,2006,"אביטל",32.55723,35.3074155
"175","אביטל",2052,500,2008,"אביטל",32.55723,35.3074155
"176","אביטל",2052,470,2012,"אביטל",32.55723,35.3074155
"177","אביטל",2052,471,2009,"אביטל",32.55723,35.3074155
"178","אביטל",2052,489,2021,"אביטל",32.55723,35.3074155
"179","אביטל",2052,502,2018,"אביטל",32.55723,35.3074155
"180","אביטל",2052,494,2020,"אביטל",32.55723,35.3074155
"181","אביטל",2052,519,2017,"אביטל",32.55723,35.3074155
"182","אביטל",2052,490,2014,"אביטל",32.55723,35.3074155
"183","אביעזר",1070,865,2018,"אביעזר",31.681274,35.015569
"184","אביעזר",1070,863,2020,"אביעזר",31.681274,35.015569
"185","אביעזר",1070,875,2019,"אביעזר",31.681274,35.015569
"186","אביעזר",1070,700,2011,"אביעזר",31.681274,35.015569
"187","אביעזר",1070,883,2017,"אביעזר",31.681274,35.015569
"188","אביעזר",1070,760,2013,"אביעזר",31.681274,35.015569
"189","אביעזר",1070,860,2016,"אביעזר",31.681274,35.015569
"190","אביעזר",1070,897,2022,"אביעזר",31.681274,35.015569
"191","אביעזר",1070,546,2006,"אביעזר",31.681274,35.015569
"192","אביעזר",1070,850,2015,"אביעזר",31.681274,35.015569
"193","אביעזר",1070,800,2014,"אביעזר",31.681274,35.015569
"194","אביעזר",1070,557,2009,"אביעזר",31.681274,35.015569
"195","אביעזר",1070,500,2008,"אביעזר",31.681274,35.015569
"196","אביעזר",1070,890,2021,"אביעזר",31.681274,35.015569
"197","אביעזר",1070,740,2012,"אביעזר",31.681274,35.015569
"198","אבירים",1220,209,2006,"אבירים",33.0383745,35.2869275
"199","אבירים",1220,190,2012,"אבירים",33.0383745,35.2869275
"200","אבירים",1220,310,2022,"אבירים",33.0383745,35.2869275
"201","אבירים",1220,226,2018,"אבירים",33.0383745,35.2869275
"202","אבירים",1220,190,2013,"אבירים",33.0383745,35.2869275
"203","אבירים",1220,270,2020,"אבירים",33.0383745,35.2869275
"204","אבירים",1220,210,2016,"אבירים",33.0383745,35.2869275
"205","אבירים",1220,180,2014,"אבירים",33.0383745,35.2869275
"206","אבירים",1220,200,2011,"אבירים",33.0383745,35.2869275
"207","אבירים",1220,216,2017,"אבירים",33.0383745,35.2869275
"208","אבירים",1220,190,2015,"אבירים",33.0383745,35.2869275
"209","אבירים",1220,194,2009,"אבירים",33.0383745,35.2869275
"210","אבירים",1220,263,2019,"אבירים",33.0383745,35.2869275
"211","אבירים",1220,296,2021,"אבירים",33.0383745,35.2869275
"212","אבירים",1220,200,2008,"אבירים",33.0383745,35.2869275
"213","אבניאיתן",4011,811,2021,"אבני איתן",32.823254,35.7663461
"214","אבניאיתן",4011,580,2013,"אבני איתן",32.823254,35.7663461
"215","אבניאיתן",4011,680,2016,"אבני איתן",32.823254,35.7663461
"216","אבניאיתן",4011,580,2012,"אבני איתן",32.823254,35.7663461
"217","אבניאיתן",4011,876,2022,"אבני איתן",32.823254,35.7663461
"218","אבניאיתן",4011,725,2019,"אבני איתן",32.823254,35.7663461
"219","אבניאיתן",4011,443,2009,"אבני איתן",32.823254,35.7663461
"220","אבניאיתן",4011,714,2018,"אבני איתן",32.823254,35.7663461
"221","אבניאיתן",4011,600,2014,"אבני איתן",32.823254,35.7663461
"222","אבניאיתן",4011,630,2015,"אבני איתן",32.823254,35.7663461
"223","אבניאיתן",4011,400,2008,"אבני איתן",32.823254,35.7663461
"224","אבניאיתן",4011,700,2017,"אבני איתן",32.823254,35.7663461
"225","אבניאיתן",4011,418,2006,"אבני איתן",32.823254,35.7663461
"226","אבניאיתן",4011,500,2011,"אבני איתן",32.823254,35.7663461
"227","אבניאיתן",4011,741,2020,"אבני איתן",32.823254,35.7663461
"228","אבןיהודה",182,9711,2006,"אבן יהודה",32.267805,34.8814773
"229","אבןיהודה",182,14266,2021,"אבן יהודה",32.267805,34.8814773
"230","אבןיהודה",182,13220,2015,"אבן יהודה",32.267805,34.8814773
"231","אבןיהודה",182,10000,2008,"אבן יהודה",32.267805,34.8814773
"232","אבןיהודה",182,13700,2018,"אבן יהודה",32.267805,34.8814773
"233","אבןיהודה",182,12970,2014,"אבן יהודה",32.267805,34.8814773
"234","אבןיהודה",182,12700,2013,"אבן יהודה",32.267805,34.8814773
"235","אבןיהודה",182,13704,2017,"אבן יהודה",32.267805,34.8814773
"236","אבןיהודה",182,10411,2009,"אבן יהודה",32.267805,34.8814773
"237","אבןיהודה",182,13826,2019,"אבן יהודה",32.267805,34.8814773
"238","אבןיהודה",182,12410,2012,"אבן יהודה",32.267805,34.8814773
"239","אבןיהודה",182,14019,2020,"אבן יהודה",32.267805,34.8814773
"240","אבןיהודה",182,11900,2011,"אבן יהודה",32.267805,34.8814773
"241","אבןיהודה",182,14365,2022,"אבן יהודה",32.267805,34.8814773
"242","אבןיהודה",182,13550,2016,"אבן יהודה",32.267805,34.8814773
"243","אבניחפץ",3793,1760,2016,"אבני חפץ",32.2865635,35.075054
"244","אבניחפץ",3793,2363,2022,"אבני חפץ",32.2865635,35.075054
"245","אבניחפץ",3793,1660,2014,"אבני חפץ",32.2865635,35.075054
"246","אבניחפץ",3793,1836,2017,"אבני חפץ",32.2865635,35.075054
"247","אבניחפץ",3793,1409,2009,"אבני חפץ",32.2865635,35.075054
"248","אבניחפץ",3793,1923,2019,"אבני חפץ",32.2865635,35.075054
"249","אבניחפץ",3793,1610,2012,"אבני חפץ",32.2865635,35.075054
"250","אבניחפץ",3793,1895,2018,"אבני חפץ",32.2865635,35.075054
"251","אבניחפץ",3793,2081,2020,"אבני חפץ",32.2865635,35.075054
"252","אבניחפץ",3793,1710,2015,"אבני חפץ",32.2865635,35.075054
"253","אבניחפץ",3793,1680,2013,"אבני חפץ",32.2865635,35.075054
"254","אבניחפץ",3793,1247,2006,"אבני חפץ",32.2865635,35.075054
"255","אבניחפץ",3793,1300,2008,"אבני חפץ",32.2865635,35.075054
"256","אבניחפץ",3793,2223,2021,"אבני חפץ",32.2865635,35.075054
"257","אבניחפץ",3793,1500,2011,"אבני חפץ",32.2865635,35.075054
"258","אבןמנחם",1081,303,2006,"אבן מנחם",33.0743345,35.2939279
"259","אבןמנחם",1081,260,2015,"אבן מנחם",33.0743345,35.2939279
"260","אבןמנחם",1081,262,2009,"אבן מנחם",33.0743345,35.2939279
"261","אבןמנחם",1081,278,2021,"אבן מנחם",33.0743345,35.2939279
"262","אבןמנחם",1081,299,2019,"אבן מנחם",33.0743345,35.2939279
"263","אבןמנחם",1081,300,2011,"אבן מנחם",33.0743345,35.2939279
"264","אבןמנחם",1081,286,2017,"אבן מנחם",33.0743345,35.2939279
"265","אבןמנחם",1081,280,2020,"אבן מנחם",33.0743345,35.2939279
"266","אבןמנחם",1081,285,2022,"אבן מנחם",33.0743345,35.2939279
"267","אבןמנחם",1081,270,2016,"אבן מנחם",33.0743345,35.2939279
"268","אבןמנחם",1081,297,2018,"אבן מנחם",33.0743345,35.2939279
"269","אבןמנחם",1081,280,2013,"אבן מנחם",33.0743345,35.2939279
"270","אבןמנחם",1081,280,2014,"אבן מנחם",33.0743345,35.2939279
"271","אבןמנחם",1081,300,2008,"אבן מנחם",33.0743345,35.2939279
"272","אבןמנחם",1081,270,2012,"אבן מנחם",33.0743345,35.2939279
"273","אבןספיר",783,703,2019,"אבן ספיר",31.7627975,35.135988
"274","אבןספיר",783,600,2008,"אבן ספיר",31.7627975,35.135988
"275","אבןספיר",783,654,2006,"אבן ספיר",31.7627975,35.135988
"276","אבןספיר",783,728,2017,"אבן ספיר",31.7627975,35.135988
"277","אבןספיר",783,710,2013,"אבן ספיר",31.7627975,35.135988
"278","אבןספיר",783,686,2021,"אבן ספיר",31.7627975,35.135988
"279","אבןספיר",783,699,2022,"אבן ספיר",31.7627975,35.135988
"280","אבןספיר",783,724,2018,"אבן ספיר",31.7627975,35.135988
"281","אבןספיר",783,720,2014,"אבן ספיר",31.7627975,35.135988
"282","אבןספיר",783,740,2015,"אבן ספיר",31.7627975,35.135988
"283","אבןספיר",783,657,2009,"אבן ספיר",31.7627975,35.135988
"284","אבןספיר",783,680,2012,"אבן ספיר",31.7627975,35.135988
"285","אבןספיר",783,740,2016,"אבן ספיר",31.7627975,35.135988
"286","אבןספיר",783,700,2011,"אבן ספיר",31.7627975,35.135988
"287","אבןספיר",783,710,2020,"אבן ספיר",31.7627975,35.135988
"288","אבןשמואל",400,1941,2017,"אבן שמואל",31.575215,34.765164
"289","אבןשמואל",400,800,2008,"אבן שמואל",31.575215,34.765164
"290","אבןשמואל",400,1350,2013,"אבן שמואל",31.575215,34.765164
"291","אבןשמואל",400,1540,2015,"אבן שמואל",31.575215,34.765164
"292","אבןשמואל",400,2279,2021,"אבן שמואל",31.575215,34.765164
"293","אבןשמואל",400,1460,2014,"אבן שמואל",31.575215,34.765164
"294","אבןשמואל",400,2287,2022,"אבן שמואל",31.575215,34.765164
"295","אבןשמואל",400,1750,2016,"אבן שמואל",31.575215,34.765164
"296","אבןשמואל",400,777,2009,"אבן שמואל",31.575215,34.765164
"297","אבןשמואל",400,1807,2019,"אבן שמואל",31.575215,34.765164
"298","אבןשמואל",400,1000,2011,"אבן שמואל",31.575215,34.765164
"299","אבןשמואל",400,1675,2018,"אבן שמואל",31.575215,34.765164
"300","אבןשמואל",400,2237,2020,"אבן שמואל",31.575215,34.765164
"301","אבןשמואל",400,1250,2012,"אבן שמואל",31.575215,34.765164
"302","אבןשמואל",400,565,2006,"אבן שמואל",31.575215,34.765164
"303","אבנת",3786,100,2009,"אבנת",31.6786667,35.4308975
"304","אבנת",3786,254,2020,"אבנת",31.6786667,35.4308975
"305","אבנת",3786,130,2015,"אבנת",31.6786667,35.4308975
"306","אבנת",3786,260,2021,"אבנת",31.6786667,35.4308975
"307","אבנת",3786,201,2017,"אבנת",31.6786667,35.4308975
"308","אבנת",3786,237,2019,"אבנת",31.6786667,35.4308975
"309","אבנת",3786,249,2022,"אבנת",31.6786667,35.4308975
"310","אבנת",3786,100,2011,"אבנת",31.6786667,35.4308975
"311","אבנת",3786,110,2013,"אבנת",31.6786667,35.4308975
"312","אבנת",3786,185,2018,"אבנת",31.6786667,35.4308975
"313","אבנת",3786,NA,2006,"אבנת",31.6786667,35.4308975
"314","אבנת",3786,100,2012,"אבנת",31.6786667,35.4308975
"315","אבנת",3786,190,2016,"אבנת",31.6786667,35.4308975
"316","אבנת",3786,0,2008,"אבנת",31.6786667,35.4308975
"317","אבנת",3786,110,2014,"אבנת",31.6786667,35.4308975
"318","אבשלום",1311,260,2016,"אבשלום",31.194878,34.3315555
"319","אבשלום",1311,260,2015,"אבשלום",31.194878,34.3315555
"320","אבשלום",1311,200,2011,"אבשלום",31.194878,34.3315555
"321","אבשלום",1311,322,2020,"אבשלום",31.194878,34.3315555
"322","אבשלום",1311,382,2022,"אבשלום",31.194878,34.3315555
"323","אבשלום",1311,220,2013,"אבשלום",31.194878,34.3315555
"324","אבשלום",1311,264,2006,"אבשלום",31.194878,34.3315555
"325","אבשלום",1311,345,2021,"אבשלום",31.194878,34.3315555
"326","אבשלום",1311,200,2012,"אבשלום",31.194878,34.3315555
"327","אבשלום",1311,100,2008,"אבשלום",31.194878,34.3315555
"328","אבשלום",1311,261,2017,"אבשלום",31.194878,34.3315555
"329","אבשלום",1311,138,2009,"אבשלום",31.194878,34.3315555
"330","אבשלום",1311,298,2019,"אבשלום",31.194878,34.3315555
"331","אבשלום",1311,240,2014,"אבשלום",31.194878,34.3315555
"332","אבשלום",1311,273,2018,"אבשלום",31.194878,34.3315555
"333","אגםכנרת",99999,0,2016,"אגם כנרת",NA,NA
"334","אדורה",3759,515,2022,"אדורה",31.5520339,35.0186455
"335","אדורה",3759,420,2016,"אדורה",31.5520339,35.0186455
"336","אדורה",3759,447,2020,"אדורה",31.5520339,35.0186455
"337","אדורה",3759,462,2019,"אדורה",31.5520339,35.0186455
"338","אדורה",3759,300,2011,"אדורה",31.5520339,35.0186455
"339","אדורה",3759,330,2013,"אדורה",31.5520339,35.0186455
"340","אדורה",3759,257,2009,"אדורה",31.5520339,35.0186455
"341","אדורה",3759,474,2021,"אדורה",31.5520339,35.0186455
"342","אדורה",3759,280,2012,"אדורה",31.5520339,35.0186455
"343","אדורה",3759,441,2018,"אדורה",31.5520339,35.0186455
"344","אדורה",3759,400,2015,"אדורה",31.5520339,35.0186455
"345","אדורה",3759,220,2006,"אדורה",31.5520339,35.0186455
"346","אדורה",3759,440,2017,"אדורה",31.5520339,35.0186455
"347","אדורה",3759,300,2008,"אדורה",31.5520339,35.0186455
"348","אדורה",3759,370,2014,"אדורה",31.5520339,35.0186455
"349","אדירים",113,240,2012,"אדירים",32.5491954,35.272318
"350","אדירים",113,270,2016,"אדירים",32.5491954,35.272318
"351","אדירים",113,279,2018,"אדירים",32.5491954,35.272318
"352","אדירים",113,200,2011,"אדירים",32.5491954,35.272318
"353","אדירים",113,200,2008,"אדירים",32.5491954,35.272318
"354","אדירים",113,278,2021,"אדירים",32.5491954,35.272318
"355","אדירים",113,239,2009,"אדירים",32.5491954,35.272318
"356","אדירים",113,226,2006,"אדירים",32.5491954,35.272318
"357","אדירים",113,277,2017,"אדירים",32.5491954,35.272318
"358","אדירים",113,240,2013,"אדירים",32.5491954,35.272318
"359","אדירים",113,270,2015,"אדירים",32.5491954,35.272318
"360","אדירים",113,272,2019,"אדירים",32.5491954,35.272318
"361","אדירים",113,280,2020,"אדירים",32.5491954,35.272318
"362","אדירים",113,280,2022,"אדירים",32.5491954,35.272318
"363","אדירים",113,260,2014,"אדירים",32.5491954,35.272318
"364","אדמית",1068,100,2011,"אדמית",33.0791505,35.209404
"365","אדמית",1068,140,2014,"אדמית",33.0791505,35.209404
"366","אדמית",1068,200,2008,"אדמית",33.0791505,35.209404
"367","אדמית",1068,245,2020,"אדמית",33.0791505,35.209404
"368","אדמית",1068,286,2022,"אדמית",33.0791505,35.209404
"369","אדמית",1068,120,2013,"אדמית",33.0791505,35.209404
"370","אדמית",1068,166,2009,"אדמית",33.0791505,35.209404
"371","אדמית",1068,180,2016,"אדמית",33.0791505,35.209404
"372","אדמית",1068,110,2012,"אדמית",33.0791505,35.209404
"373","אדמית",1068,265,2021,"אדמית",33.0791505,35.209404
"374","אדמית",1068,180,2015,"אדמית",33.0791505,35.209404
"375","אדמית",1068,208,2018,"אדמית",33.0791505,35.209404
"376","אדמית",1068,96,2006,"אדמית",33.0791505,35.209404
"377","אדמית",1068,216,2019,"אדמית",33.0791505,35.209404
"378","אדמית",1068,199,2017,"אדמית",33.0791505,35.209404
"379","אדרת",1123,830,2013,"אדרת",31.6600555,34.9947191
"380","אדרת",1123,860,2014,"אדרת",31.6600555,34.9947191
"381","אדרת",1123,919,2017,"אדרת",31.6600555,34.9947191
"382","אדרת",1123,630,2009,"אדרת",31.6600555,34.9947191
