"SEMEL_YISHUV","year","alarm","locality","loc","date","distance","alert","month","Pop_Total","district","geometry"
7,2023,1,"שחר","שחר",2023-10-07,16.202691272524,1,10,NA,"HaDarom",c(34.7258235, 31.6190036)
7,2023,1,"שחר","שחר",2023-12-17,16.202691272524,1,12,NA,"HaDarom",c(34.7258235, 31.6190036)
10,2016,1,"תירוש","תירוש",2016-09-20,37.3432923304252,1,9,520,"Jerusalem",c(34.8851455, 31.7507185)
10,2016,1,"תירוש","תירוש",2016-07-06,37.3432923304252,1,7,520,"Jerusalem",c(34.8851455, 31.7507185)
10,2017,1,"תירוש","תירוש",2017-12-05,37.3432923304252,1,12,502,"Jerusalem",c(34.8851455, 31.7507185)
10,2019,1,"תירוש","תירוש",2019-05-04,37.3432923304252,1,5,492,"Jerusalem",c(34.8851455, 31.7507185)
10,2021,1,"תירוש","תירוש",2021-05-15,37.3432923304252,1,5,454,"Jerusalem",c(34.8851455, 31.7507185)
10,2023,1,"תירוש","תירוש",2023-12-02,37.3432923304252,1,12,NA,"Jerusalem",c(34.8851455, 31.7507185)
10,2023,1,"תירוש","תירוש",2023-05-12,37.3432923304252,1,5,NA,"Jerusalem",c(34.8851455, 31.7507185)
10,2023,1,"תירוש","תירוש",2023-11-21,37.3432923304252,1,11,NA,"Jerusalem",c(34.8851455, 31.7507185)
10,2023,1,"תירוש","תירוש",2023-10-07,37.3432923304252,1,10,NA,"Jerusalem",c(34.8851455, 31.7507185)
11,2014,1,"ניר ח""ן","נירחן",2014-08-20,15.0164445153399,1,8,480,"HaDarom",c(34.7149321, 31.6089264)
11,2014,1,"ניר ח""ן","נירחן",2014-07-27,15.0164445153399,1,7,480,"HaDarom",c(34.7149321, 31.6089264)
11,2016,1,"ניר ח""ן","נירחן",2016-09-20,15.0164445153399,1,9,530,"HaDarom",c(34.7149321, 31.6089264)
11,2018,1,"ניר ח""ן","נירחן",2018-07-14,15.0164445153399,1,7,552,"HaDarom",c(34.7149321, 31.6089264)
11,2018,1,"ניר ח""ן","נירחן",2018-05-30,15.0164445153399,1,5,552,"HaDarom",c(34.7149321, 31.6089264)
11,2019,1,"ניר ח""ן","נירחן",2019-05-04,15.0164445153399,1,5,548,"HaDarom",c(34.7149321, 31.6089264)
11,2021,1,"ניר ח''ן","נירחן",2021-05-13,15.0164445153399,1,5,578,"HaDarom",c(34.7149321, 31.6089264)
11,2023,1,"ניר ח''ן","נירחן",2023-10-07,15.0164445153399,1,10,NA,"HaDarom",c(34.7149321, 31.6089264)
13,2016,1,"חצבה","חצבה",2016-09-20,102.743642435493,1,9,570,"HaDarom",c(35.2739275, 30.76713)
13,2019,1,"חצבה","חצבה",2019-01-02,102.743642435493,1,1,620,"HaDarom",c(35.2739275, 30.76713)
15,2014,1,"נועם","נועם",2014-08-20,20.4434594923625,1,8,350,"HaDarom",c(34.78867, 31.567545)
15,2014,1,"נועם","נועם",2014-07-31,20.4434594923625,1,7,350,"HaDarom",c(34.78867, 31.567545)
15,2016,1,"נועם","נועם",2016-09-20,20.4434594923625,1,9,350,"HaDarom",c(34.78867, 31.567545)
15,2019,1,"נועם","נועם",2019-05-05,20.4434594923625,1,5,355,"HaDarom",c(34.78867, 31.567545)
15,2023,1,"נועם","נועם",2023-10-07,20.4434594923625,1,10,NA,"HaDarom",c(34.78867, 31.567545)
16,2014,1,"בית ניר","ביתניר",2014-08-05,30.8875857507144,1,8,560,"HaDarom",c(34.873543, 31.6483794)
16,2014,1,"בית ניר","ביתניר",2014-07-27,30.8875857507144,1,7,560,"HaDarom",c(34.873543, 31.6483794)
16,2016,1,"בית ניר","ביתניר",2016-09-20,30.8875857507144,1,9,590,"HaDarom",c(34.873543, 31.6483794)
16,2019,1,"בית ניר","ביתניר",2019-05-05,30.8875857507144,1,5,609,"HaDarom",c(34.873543, 31.6483794)
18,2014,1,"שדה משה","שדהמשה",2014-07-27,22.3284459185118,1,7,740,"HaDarom",c(34.8015805, 31.6106876)
18,2014,1,"שדה משה","שדהמשה",2014-08-20,22.3284459185118,1,8,740,"HaDarom",c(34.8015805, 31.6106876)
18,2016,1,"שדה משה","שדהמשה",2016-09-20,22.3284459185118,1,9,750,"HaDarom",c(34.8015805, 31.6106876)
18,2019,1,"שדה משה","שדהמשה",2019-05-05,22.3284459185118,1,5,760,"HaDarom",c(34.8015805, 31.6106876)
18,2021,1,"שדה משה","שדהמשה",2021-05-15,22.3284459185118,1,5,780,"HaDarom",c(34.8015805, 31.6106876)
18,2023,1,"שדה משה","שדהמשה",2023-10-07,22.3284459185118,1,10,NA,"HaDarom",c(34.8015805, 31.6106876)
21,2016,1,"באר אורה","באראורה",2016-09-20,179.483537012709,1,9,740,"HaDarom",c(34.984974, 29.7098625)
21,2019,1,"באר אורה","באראורה",2019-01-02,179.483537012709,1,1,1033,"HaDarom",c(34.984974, 29.7098625)
23,2014,1,"אמציה","אמציה",2014-07-27,32.481645266208,1,7,540,"HaDarom",c(34.913869, 31.532573)
23,2016,1,"אמציה","אמציה",2016-09-20,32.481645266208,1,9,570,"HaDarom",c(34.913869, 31.532573)
23,2018,1,"אמציה","אמציה",2018-11-12,32.481645266208,1,11,353,"HaDarom",c(34.913869, 31.532573)
24,2014,1,"לכיש","לכיש",2014-08-05,25.4508465432507,1,8,700,"HaDarom",c(34.8416729, 31.562406)
24,2014,1,"לכיש","לכיש",2014-07-27,25.4508465432507,1,7,700,"HaDarom",c(34.8416729, 31.562406)
24,2016,1,"לכיש","לכיש",2016-09-20,25.4508465432507,1,9,740,"HaDarom",c(34.8416729, 31.562406)
24,2018,1,"לכיש","לכיש",2018-08-09,25.4508465432507,1,8,744,"HaDarom",c(34.8416729, 31.562406)
24,2018,1,"לכיש","לכיש",2018-07-14,25.4508465432507,1,7,744,"HaDarom",c(34.8416729, 31.562406)
24,2018,1,"לכיש","לכיש",2018-06-20,25.4508465432507,1,6,744,"HaDarom",c(34.8416729, 31.562406)
24,2018,1,"לכיש","לכיש",2018-05-29,25.4508465432507,1,5,744,"HaDarom",c(34.8416729, 31.562406)
24,2019,1,"לכיש","לכיש",2019-05-04,25.4508465432507,1,5,769,"HaDarom",c(34.8416729, 31.562406)
26,2016,1,"ראש פינה","ראשפינה",2016-09-20,179.80587319621,1,9,3000,"HaZafon",c(35.5581355, 32.9923749)
26,2017,1,"ראש פינה","ראשפינה",2017-07-18,179.80587319621,1,7,3061,"HaZafon",c(35.5581355, 32.9923749)
26,2018,1,"ראש פינה","ראשפינה",2018-02-10,179.80587319621,1,2,3120,"HaZafon",c(35.5581355, 32.9923749)
26,2019,1,"ראש פינה","ראשפינה",2019-05-20,179.80587319621,1,5,3148,"HaZafon",c(35.5581355, 32.9923749)
26,2022,1,"ראש פינה","ראשפינה",2022-02-18,179.80587319621,1,2,3308,"HaZafon",c(35.5581355, 32.9923749)
26,2023,1,"ראש פינה","ראשפינה",2023-10-29,179.80587319621,1,10,NA,"HaZafon",c(35.5581355, 32.9923749)
27,2016,1,"שדות מיכה","שדותמיכה",2016-07-06,38.3974050039027,1,7,400,"Jerusalem",c(34.9217185, 31.7217105)
27,2016,1,"שדות מיכה","שדותמיכה",2016-09-20,38.3974050039027,1,9,400,"Jerusalem",c(34.9217185, 31.7217105)
27,2017,1,"שדות מיכה","שדותמיכה",2017-12-05,38.3974050039027,1,12,398,"Jerusalem",c(34.9217185, 31.7217105)
27,2019,1,"שדות מיכה","שדותמיכה",2019-05-05,38.3974050039027,1,5,378,"Jerusalem",c(34.9217185, 31.7217105)
27,2021,1,"שדות מיכה","שדותמיכה",2021-05-10,38.3974050039027,1,5,390,"Jerusalem",c(34.9217185, 31.7217105)
27,2023,1,"שדות מיכה","שדותמיכה",2023-10-07,38.3974050039027,1,10,NA,"Jerusalem",c(34.9217185, 31.7217105)
28,2014,1,"מזכרת בתיה","מזכרתבתיה",2014-08-01,39.9539933496945,1,8,11860,"HaMerkaz",c(34.8443814, 31.8407815)
28,2016,1,"מזכרת בתיה","מזכרתבתיה",2016-09-20,39.9539933496945,1,9,13420,"HaMerkaz",c(34.8443814, 31.8407815)
28,2017,1,"מזכרת בתיה","מזכרתבתיה",2017-08-08,39.9539933496945,1,8,14159,"HaMerkaz",c(34.8443814, 31.8407815)
28,2019,1,"מזכרת בתיה","מזכרתבתיה",2019-11-12,39.9539933496945,1,11,14837,"HaMerkaz",c(34.8443814, 31.8407815)
28,2019,1,"מזכרת בתיה","מזכרתבתיה",2019-05-04,39.9539933496945,1,5,14837,"HaMerkaz",c(34.8443814, 31.8407815)
28,2021,1,"מזכרת בתיה","מזכרתבתיה",2021-05-12,39.9539933496945,1,5,15424,"HaMerkaz",c(34.8443814, 31.8407815)
28,2023,1,"מזכרת בתיה","מזכרתבתיה",2023-12-02,39.9539933496945,1,12,NA,"HaMerkaz",c(34.8443814, 31.8407815)
28,2023,1,"מזכרת בתיה","מזכרתבתיה",2023-10-07,39.9539933496945,1,10,NA,"HaMerkaz",c(34.8443814, 31.8407815)
28,2023,1,"מזכרת בתיה","מזכרתבתיה",2023-11-20,39.9539933496945,1,11,NA,"HaMerkaz",c(34.8443814, 31.8407815)
29,2016,1,"יסוד המעלה","יסודהמעלה",2016-09-20,189.874762842093,1,9,1680,"HaZafon",c(35.6046765, 33.0609239)
29,2017,1,"יסוד המעלה","יסודהמעלה",2017-07-18,189.874762842093,1,7,1697,"HaZafon",c(35.6046765, 33.0609239)
29,2018,1,"יסוד המעלה","יסודהמעלה",2018-07-23,189.874762842093,1,7,1719,"HaZafon",c(35.6046765, 33.0609239)
29,2019,1,"יסוד המעלה","יסודהמעלה",2019-05-20,189.874762842093,1,5,1730,"HaZafon",c(35.6046765, 33.0609239)
29,2022,1,"יסוד המעלה","יסודהמעלה",2022-02-18,189.874762842093,1,2,1798,"HaZafon",c(35.6046765, 33.0609239)
31,2014,1,"אופקים","אופקים",2014-07-24,20.5357295868332,1,7,25300,"HaDarom",c(34.6254634, 31.3085344)
31,2014,1,"אופקים","אופקים",2014-08-02,20.5357295868332,1,8,25300,"HaDarom",c(34.6254634, 31.3085344)
31,2016,1,"אופקים","אופקים",2016-09-20,20.5357295868332,1,9,26620,"HaDarom",c(34.6254634, 31.3085344)
31,2017,1,"אופקים","אופקים",2017-03-21,20.5357295868332,1,3,27770,"HaDarom",c(34.6254634, 31.3085344)
31,2018,1,"אופקים","אופקים",2018-11-12,20.5357295868332,1,11,29022,"HaDarom",c(34.6254634, 31.3085344)
31,2018,1,"אופקים","אופקים",2018-05-29,20.5357295868332,1,5,29022,"HaDarom",c(34.6254634, 31.3085344)
31,2019,1,"אופקים","אופקים",2019-05-04,20.5357295868332,1,5,30662,"HaDarom",c(34.6254634, 31.3085344)
31,2021,1,"אופקים","אופקים",2021-05-14,20.5357295868332,1,5,33999,"HaDarom",c(34.6254634, 31.3085344)
31,2023,1,"אופקים","אופקים",2023-10-07,20.5357295868332,1,10,NA,"HaDarom",c(34.6254634, 31.3085344)
31,2023,1,"אופקים","אופקים",2023-12-14,20.5357295868332,1,12,NA,"HaDarom",c(34.6254634, 31.3085344)
31,2023,1,"אופקים","אופקים",2023-05-13,20.5357295868332,1,5,NA,"HaDarom",c(34.6254634, 31.3085344)
32,2014,1,"עוצם","עוצם",2014-07-31,15.8781868146933,1,7,500,"HaDarom",c(34.7047254, 31.639199)
32,2014,1,"עוצם","עוצם",2014-08-19,15.8781868146933,1,8,500,"HaDarom",c(34.7047254, 31.639199)
32,2016,1,"עוצם","עוצם",2016-09-20,15.8781868146933,1,9,520,"HaDarom",c(34.7047254, 31.639199)
32,2018,1,"עוצם","עוצם",2018-07-14,15.8781868146933,1,7,642,"HaDarom",c(34.7047254, 31.639199)
32,2018,1,"עוצם","עוצם",2018-05-29,15.8781868146933,1,5,642,"HaDarom",c(34.7047254, 31.639199)
32,2019,1,"עוצם","עוצם",2019-05-04,15.8781868146933,1,5,653,"HaDarom",c(34.7047254, 31.639199)
32,2021,1,"עוצם","עוצם",2021-05-12,15.8781868146933,1,5,753,"HaDarom",c(34.7047254, 31.639199)
32,2023,1,"עוצם","עוצם",2023-10-07,15.8781868146933,1,10,NA,"HaDarom",c(34.7047254, 31.639199)
33,2014,1,"בת שלמה","בתשלמה",2014-07-28,120.786273076813,1,7,570,"Haifa",c(35.004929, 32.5997835)
33,2019,1,"בת שלמה","בתשלמה",2019-07-31,120.786273076813,1,7,656,"Haifa",c(35.004929, 32.5997835)
35,2016,1,"גדות","גדות",2016-09-20,189.693820063353,1,9,400,"HaZafon",c(35.6171239, 33.0186075)
35,2017,1,"גדות","גדות",2017-07-18,189.693820063353,1,7,421,"HaZafon",c(35.6171239, 33.0186075)
35,2018,1,"גדות","גדות",2018-07-23,189.693820063353,1,7,441,"HaZafon",c(35.6171239, 33.0186075)
35,2019,1,"גדות","גדות",2019-05-20,189.693820063353,1,5,434,"HaZafon",c(35.6171239, 33.0186075)
35,2022,1,"גדות","גדות",2022-02-18,189.693820063353,1,2,471,"HaZafon",c(35.6171239, 33.0186075)
36,2014,1,"שדה דוד","שדהדוד",2014-07-31,10.765001322118,1,7,380,"HaDarom",c(34.6832015, 31.576122)
36,2014,1,"שדה דוד","שדהדוד",2014-08-01,10.765001322118,1,8,380,"HaDarom",c(34.6832015, 31.576122)
36,2016,1,"שדה דוד","שדהדוד",2016-09-20,10.765001322118,1,9,390,"HaDarom",c(34.6832015, 31.576122)
36,2018,1,"שדה דוד","שדהדוד",2018-07-14,10.765001322118,1,7,547,"HaDarom",c(34.6832015, 31.576122)
36,2018,1,"שדה דוד","שדהדוד",2018-05-30,10.765001322118,1,5,547,"HaDarom",c(34.6832015, 31.576122)
36,2018,1,"שדה דוד","שדהדוד",2018-08-09,10.765001322118,1,8,547,"HaDarom",c(34.6832015, 31.576122)
36,2018,1,"שדה דוד","שדהדוד",2018-06-03,10.765001322118,1,6,547,"HaDarom",c(34.6832015, 31.576122)
36,2019,1,"שדה דוד","שדהדוד",2019-05-04,10.765001322118,1,5,594,"HaDarom",c(34.6832015, 31.576122)
36,2019,1,"שדה דוד","שדהדוד",2019-11-14,10.765001322118,1,11,594,"HaDarom",c(34.6832015, 31.576122)
36,2021,1,"שדה דוד","שדהדוד",2021-05-13,10.765001322118,1,5,632,"HaDarom",c(34.6832015, 31.576122)
36,2023,1,"שדה דוד","שדהדוד",2023-10-07,10.765001322118,1,10,NA,"HaDarom",c(34.6832015, 31.576122)
37,2014,1,"איתן","איתן",2014-08-20,16.8140877030511,1,8,420,"HaDarom",c(34.748113, 31.5718444)
37,2014,1,"איתן","איתן",2014-07-27,16.8140877030511,1,7,420,"HaDarom",c(34.748113, 31.5718444)
37,2016,1,"איתן","איתן",2016-09-20,16.8140877030511,1,9,440,"HaDarom",c(34.748113, 31.5718444)
37,2019,1,"איתן","איתן",2019-05-04,16.8140877030511,1,5,464,"HaDarom",c(34.748113, 31.5718444)
37,2021,1,"איתן","איתן",2021-05-15,16.8140877030511,1,5,520,"HaDarom",c(34.748113, 31.5718444)
37,2023,1,"איתן","איתן",2023-10-07,16.8140877030511,1,10,NA,"HaDarom",c(34.748113, 31.5718444)
39,2016,1,"גפן","גפן",2016-07-06,36.1543235079982,1,7,410,"Jerusalem",c(34.8774004, 31.7415764)
39,2016,1,"גפן","גפן",2016-09-20,36.1543235079982,1,9,410,"Jerusalem",c(34.8774004, 31.7415764)
39,2017,1,"גפן","גפן",2017-12-05,36.1543235079982,1,12,420,"Jerusalem",c(34.8774004, 31.7415764)
39,2019,1,"גפן","גפן",2019-05-05,36.1543235079982,1,5,410,"Jerusalem",c(34.8774004, 31.7415764)
39,2021,1,"גפן","גפן",2021-05-15,36.1543235079982,1,5,422,"Jerusalem",c(34.8774004, 31.7415764)
39,2023,1,"גפן","גפן",2023-11-21,36.1543235079982,1,11,NA,"Jerusalem",c(34.8774004, 31.7415764)
39,2023,1,"גפן","גפן",2023-12-02,36.1543235079982,1,12,NA,"Jerusalem",c(34.8774004, 31.7415764)
39,2023,1,"גפן","גפן",2023-10-07,36.1543235079982,1,10,NA,"Jerusalem",c(34.8774004, 31.7415764)
39,2023,1,"גפן","גפן",2023-05-12,36.1543235079982,1,5,NA,"Jerusalem",c(34.8774004, 31.7415764)
41,2016,1,"אליכין","אליכין",2016-09-20,97.9577989286117,1,9,3410,"Haifa",c(34.9220145, 32.4078249)
41,2017,1,"אליכין","אליכין",2017-02-07,97.9577989286117,1,2,3483,"Haifa",c(34.9220145, 32.4078249)
44,2014,1,"זוהר","זוהר",2014-07-27,12.6716329368973,1,7,340,"HaDarom",c(34.693213, 31.593985)
44,2014,1,"זוהר","זוהר",2014-08-20,12.6716329368973,1,8,340,"HaDarom",c(34.693213, 31.593985)
44,2016,1,"זוהר","זוהר",2016-09-20,12.6716329368973,1,9,360,"HaDarom",c(34.693213, 31.593985)
44,2018,1,"זוהר","זוהר",2018-05-30,12.6716329368973,1,5,359,"HaDarom",c(34.693213, 31.593985)
44,2018,1,"זוהר","זוהר",2018-07-14,12.6716329368973,1,7,359,"HaDarom",c(34.693213, 31.593985)
44,2019,1,"זוהר","זוהר",2019-05-05,12.6716329368973,1,5,350,"HaDarom",c(34.693213, 31.593985)
44,2021,1,"זוהר","זוהר",2021-05-18,12.6716329368973,1,5,343,"HaDarom",c(34.693213, 31.593985)
44,2023,1,"זוהר","זוהר",2023-10-11,12.6716329368973,1,10,NA,"HaDarom",c(34.693213, 31.593985)
46,2015,1,"יבנאל","יבנאל",2015-03-11,153.794906441779,1,3,4090,"HaZafon",c(35.511988, 32.7100585)
46,2016,1,"יבנאל","יבנאל",2016-09-20,153.794906441779,1,9,4190,"HaZafon",c(35.511988, 32.7100585)
46,2017,1,"יבנאל","יבנאל",2017-07-18,153.794906441779,1,7,4281,"HaZafon",c(35.511988, 32.7100585)
46,2021,1,"יבנאל","יבנאל",2021-11-03,153.794906441779,1,11,4448,"HaZafon",c(35.511988, 32.7100585)
47,2015,1,"כפר תבור","כפרתבור",2015-03-11,146.264738444617,1,3,3800,"HaZafon",c(35.4221325, 32.6846205)
47,2016,1,"כפר תבור","כפרתבור",2016-09-20,146.264738444617,1,9,3990,"HaZafon",c(35.4221325, 32.6846205)
47,2017,1,"כפר תבור","כפרתבור",2017-07-18,146.264738444617,1,7,4099,"HaZafon",c(35.4221325, 32.6846205)
48,2015,1,"מנחמיה","מנחמיה",2015-03-11,152.863787074466,1,3,1000,"HaZafon",c(35.553217, 32.6593444)
48,2016,1,"מנחמיה","מנחמיה",2016-09-20,152.863787074466,1,9,1010,"HaZafon",c(35.553217, 32.6593444)
48,2017,1,"מנחמיה","מנחמיה",2017-07-18,152.863787074466,1,7,1041,"HaZafon",c(35.553217, 32.6593444)
49,2015,1,"אילניה","אילניה",2015-03-11,153.53295244072,1,3,480,"HaZafon",c(35.4055819, 32.755011)
49,2016,1,"אילניה","אילניה",2016-09-20,153.53295244072,1,9,480,"HaZafon",c(35.4055819, 32.755011)
49,2017,1,"אילניה","אילניה",2017-07-18,153.53295244072,1,7,487,"HaZafon",c(35.4055819, 32.755011)
52,2016,1,"לוזית","לוזית",2016-07-06,33.3616487154073,1,7,680,"Jerusalem",c(34.8867501, 31.687536)
52,2016,1,"לוזית","לוזית",2016-09-20,33.3616487154073,1,9,680,"Jerusalem",c(34.8867501, 31.687536)
52,2017,1,"לוזית","לוזית",2017-12-05,33.3616487154073,1,12,723,"Jerusalem",c(34.8867501, 31.687536)
52,2019,1,"לוזית","לוזית",2019-05-04,33.3616487154073,1,5,816,"Jerusalem",c(34.8867501, 31.687536)
52,2022,1,"לוזית","לוזית",2022-08-07,33.3616487154073,1,8,871,"Jerusalem",c(34.8867501, 31.687536)
52,2023,1,"לוזית","לוזית",2023-10-22,33.3616487154073,1,10,NA,"Jerusalem",c(34.8867501, 31.687536)
53,2014,1,"עתלית","עתלית",2014-07-28,126.087004080812,1,7,6560,"Haifa",c(34.9465515, 32.6958085)
53,2016,1,"עתלית","עתלית",2016-09-20,126.087004080812,1,9,7000,"Haifa",c(34.9465515, 32.6958085)
53,2016,1,"עתלית","עתלית",2016-06-22,126.087004080812,1,6,7000,"Haifa",c(34.9465515, 32.6958085)
53,2019,1,"עתלית","עתלית",2019-07-31,126.087004080812,1,7,8875,"Haifa",c(34.9465515, 32.6958085)
55,2014,1,"נוגה","נוגה",2014-07-27,14.3542339040261,1,7,550,"HaDarom",c(34.6943355, 31.6242929)
55,2014,1,"נוגה","נוגה",2014-08-20,14.3542339040261,1,8,550,"HaDarom",c(34.6943355, 31.6242929)
55,2016,1,"נוגה","נוגה",2016-09-20,14.3542339040261,1,9,550,"HaDarom",c(34.6943355, 31.6242929)
55,2018,1,"נוגה","נוגה",2018-05-29,14.3542339040261,1,5,557,"HaDarom",c(34.6943355, 31.6242929)
55,2018,1,"נוגה","נוגה",2018-07-14,14.3542339040261,1,7,557,"HaDarom",c(34.6943355, 31.6242929)
55,2019,1,"נוגה","נוגה",2019-05-04,14.3542339040261,1,5,583,"HaDarom",c(34.6943355, 31.6242929)
55,2021,1,"נוגה","נוגה",2021-05-13,14.3542339040261,1,5,578,"HaDarom",c(34.6943355, 31.6242929)
55,2023,1,"נוגה","נוגה",2023-10-07,14.3542339040261,1,10,NA,"HaDarom",c(34.6943355, 31.6242929)
57,2015,1,"כינרת קבוצה","כינרתקבוצה",2015-03-11,159.271062804505,1,3,690,"HaZafon",c(35.5614085, 32.7133725)
57,2016,1,"כינרת קבוצה","כינרתקבוצה",2016-09-20,159.271062804505,1,9,690,"HaZafon",c(35.5614085, 32.7133725)
57,2017,1,"כינרת קבוצה","כינרתקבוצה",2017-07-18,159.271062804505,1,7,681,"HaZafon",c(35.5614085, 32.7133725)
58,2015,1,"מצפה","מצפה",2015-03-11,163.083814460273,1,3,140,"HaZafon",c(35.5098555, 32.790956)
58,2016,1,"מצפה","מצפה",2016-09-20,163.083814460273,1,9,140,"HaZafon",c(35.5098555, 32.790956)
58,2017,1,"מצפה","מצפה",2017-07-18,163.083814460273,1,7,139,"HaZafon",c(35.5098555, 32.790956)
59,2016,1,"נחושה","נחושה",2016-09-20,37.4611738604817,1,9,1300,"Jerusalem",c(34.9537935, 31.6278261)
59,2016,1,"נחושה","נחושה",2016-07-06,37.4611738604817,1,7,1300,"Jerusalem",c(34.9537935, 31.6278261)
59,2017,1,"נחושה","נחושה",2017-12-05,37.4611738604817,1,12,1336,"Jerusalem",c(34.9537935, 31.6278261)
59,2019,1,"נחושה","נחושה",2019-05-05,37.4611738604817,1,5,1484,"Jerusalem",c(34.9537935, 31.6278261)
62,2015,1,"דגניה א'","דגניהא",2015-03-11,159.308268817349,1,3,530,"HaZafon",c(35.574352, 32.7072299)
62,2016,1,"דגניה א'","דגניהא",2016-09-20,159.308268817349,1,9,750,"HaZafon",c(35.574352, 32.7072299)
62,2017,1,"דגניה א'","דגניהא",2017-07-18,159.308268817349,1,7,752,"HaZafon",c(35.574352, 32.7072299)
63,2015,1,"כינרת מושבה","כינרתמושבה",2015-03-11,159.933266192989,1,3,630,"HaZafon",c(35.5578436, 32.7396056)
63,2016,1,"כינרת מושבה","כינרתמושבה",2016-09-20,159.933266192989,1,9,660,"HaZafon",c(35.5578436, 32.7396056)
63,2017,1,"כינרת מושבה","כינרתמושבה",2017-07-18,159.933266192989,1,7,680,"HaZafon",c(35.5578436, 32.7396056)
64,2014,1,"יד רמב""ם","ידרמבם",2014-08-01,49.993663406527,1,8,1040,"HaMerkaz",c(34.9018265, 31.900349)
64,2016,1,"יד רמב""ם","ידרמבם",2016-09-20,49.993663406527,1,9,1070,"HaMerkaz",c(34.9018265, 31.900349)
64,2017,1,"יד רמב""ם","ידרמבם",2017-08-08,49.993663406527,1,8,1085,"HaMerkaz",c(34.9018265, 31.900349)
64,2019,1,"יד רמב""ם","ידרמבם",2019-05-04,49.993663406527,1,5,1124,"HaMerkaz",c(34.9018265, 31.900349)
